date,store_id,sales,foot_traffic,inventory_level
2024-01-01,101,124,177,471
2024-01-01,102,253,308,568
2024-01-01,103,240,275,493
2024-01-02,101,259,297,407
2024-01-02,102,282,302,688
2024-01-02,103,216,275,439
2024-01-03,101,256,281,590
2024-01-03,102,146,189,427
2024-01-03,103,184,222,628
2024-01-04,101,240,262,697
2024-01-04,102,154,187,505
2024-01-04,103,182,210,412
2024-01-05,101,245,301,443
2024-01-05,102,149,182,642
2024-01-05,103,208,257,681
2024-01-06,101,287,321,407
2024-01-06,102,221,241,598
2024-01-06,103,202,250,690
2024-01-07,101,185,216,474
2024-01-07,102,266,314,489
2024-01-07,103,100,122,697
2024-01-08,101,105,146,605
2024-01-08,102,282,333,569
2024-01-08,103,224,264,614
2024-01-09,101,165,222,614
2024-01-09,102,141,175,698
2024-01-09,103,178,204,477
2024-01-10,101,266,319,450
2024-01-10,102,118,148,623
2024-01-10,103,148,207,523
2024-01-11,101,124,146,521
2024-01-11,102,185,237,530
2024-01-11,103,276,323,699
2024-01-12,101,239,286,562
2024-01-12,102,285,316,691
2024-01-12,103,183,236,498
2024-01-13,101,202,252,608
2024-01-13,102,209,233,687
2024-01-13,103,116,161,699
2024-01-14,101,126,179,680
2024-01-14,102,269,327,534
2024-01-14,103,195,251,565
2024-01-15,101,189,231,611
2024-01-15,102,147,170,682
2024-01-15,103,288,341,479
2024-01-16,101,108,134,522
2024-01-16,102,133,158,680
2024-01-16,103,123,166,506
2024-01-17,101,243,266,435
2024-01-17,102,269,296,461
2024-01-17,103,201,233,610
2024-01-18,101,280,338,593
2024-01-18,102,155,202,621
2024-01-18,103,249,308,603
2024-01-19,101,250,305,456
2024-01-19,102,290,313,648
2024-01-19,103,154,196,685
2024-01-20,101,146,183,679
2024-01-20,102,232,272,481
2024-01-20,103,229,284,415
2024-01-21,101,266,297,466
2024-01-21,102,191,220,552
2024-01-21,103,122,173,512
2024-01-22,101,119,151,500
2024-01-22,102,214,256,504
2024-01-22,103,128,186,420
2024-01-23,101,105,134,619
2024-01-23,102,206,261,509
2024-01-23,103,190,211,410
2024-01-24,101,266,318,465
2024-01-24,102,292,319,485
2024-01-24,103,101,130,417
2024-01-25,101,213,247,482
2024-01-25,102,130,183,579
2024-01-25,103,111,164,535
2024-01-26,101,266,304,433
2024-01-26,102,110,151,612
2024-01-26,103,262,292,441
2024-01-27,101,109,150,431
2024-01-27,102,278,315,574
2024-01-27,103,236,273,559
2024-01-28,101,229,256,636
2024-01-28,102,172,211,697
2024-01-28,103,134,180,684
2024-01-29,101,176,206,414
2024-01-29,102,136,178,658
2024-01-29,103,200,245,601
2024-01-30,101,294,315,519
2024-01-30,102,231,265,470
2024-01-30,103,191,240,570
2024-01-31,101,283,341,438
2024-01-31,102,118,151,604
2024-01-31,103,246,273,610
2024-02-01,101,123,167,492
2024-02-01,102,146,202,682
2024-02-01,103,113,150,667
2024-02-02,101,249,281,565
2024-02-02,102,250,270,586
2024-02-02,103,267,295,541
2024-02-03,101,220,262,667
2024-02-03,102,177,228,598
2024-02-03,103,248,279,486
2024-02-04,101,207,266,611
2024-02-04,102,143,193,579
2024-02-04,103,210,235,696
2024-02-05,101,277,302,643
2024-02-05,102,198,218,681
2024-02-05,103,100,121,508
2024-02-06,101,159,214,465
2024-02-06,102,151,195,550
2024-02-06,103,249,274,696
2024-02-07,101,244,269,657
2024-02-07,102,279,311,588
2024-02-07,103,150,189,643
2024-02-08,101,190,212,480
2024-02-08,102,279,308,625
2024-02-08,103,154,174,506
2024-02-09,101,125,183,409
2024-02-09,102,290,326,680
2024-02-09,103,172,218,403
2024-02-10,101,183,218,419
2024-02-10,102,238,260,666
2024-02-10,103,215,238,611
2024-02-11,101,202,249,677
2024-02-11,102,197,220,672
2024-02-11,103,245,282,421
2024-02-12,101,258,280,623
2024-02-12,102,250,304,483
2024-02-12,103,259,288,492
2024-02-13,101,210,269,681
2024-02-13,102,200,252,429
2024-02-13,103,128,165,692
2024-02-14,101,152,190,653
2024-02-14,102,146,181,527
2024-02-14,103,134,180,663
2024-02-15,101,281,337,431
2024-02-15,102,164,184,573
2024-02-15,103,183,214,606
2024-02-16,101,210,260,547
2024-02-16,102,214,273,434
2024-02-16,103,125,161,544
2024-02-17,101,225,268,659
2024-02-17,102,279,312,443
2024-02-17,103,135,168,634
2024-02-18,101,286,314,665
2024-02-18,102,232,274,632
2024-02-18,103,195,234,637
2024-02-19,101,104,133,685
2024-02-19,102,226,261,562
2024-02-19,103,160,201,470
2024-02-20,101,226,251,697
2024-02-20,102,102,147,407
2024-02-20,103,236,267,629
2024-02-21,101,172,208,574
2024-02-21,102,208,232,650
2024-02-21,103,103,141,405
2024-02-22,101,247,270,594
2024-02-22,102,240,271,631
2024-02-22,103,284,320,465
2024-02-23,101,247,269,467
2024-02-23,102,233,255,462
2024-02-23,103,109,158,627
2024-02-24,101,159,189,599
2024-02-24,102,163,184,502
2024-02-24,103,154,194,588
2024-02-25,101,125,172,686
2024-02-25,102,208,248,537
2024-02-25,103,246,288,542
2024-02-26,101,106,144,570
2024-02-26,102,233,265,513
2024-02-26,103,112,149,574
2024-02-27,101,167,207,534
2024-02-27,102,194,223,540
2024-02-27,103,251,296,407
2024-02-28,101,112,152,583
2024-02-28,102,123,174,540
2024-02-28,103,171,224,590
2024-02-29,101,104,141,488
2024-02-29,102,276,302,511
2024-02-29,103,157,186,610
